Country,Clicks,Impressions,CTR,Position
Greece,27,797,3.39%,6.85
United States,0,19,0%,15.89
United Kingdom,0,5,0%,8.2
Germany,0,2,0%,9.5
Spain,0,1,0%,1
Belgium,0,1,0%,2
Italy,0,1,0%,2
France,0,1,0%,4
Sweden,0,1,0%,5
Canada,0,1,0%,6
Denmark,0,1,0%,7
Cyprus,0,1,0%,11
Turkey,0,1,0%,46
